Location,Bad signal ,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
houston,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
new-york,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
el-centro,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
brooklyn,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
chicago,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
pompano-beach,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
salt-lake-city,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
dallas,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
seattle,,24%,27%,47%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:53:51
