Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:37:59
