Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,09:08,10.75,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,14:02,11.51,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,18:43,11.16,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,06:18,12.83,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,12:12,11.13,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,11:40,11.35,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,16:11,11.58,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
20.Mar.2019,21:17,11.1,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,09:19,11.0,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
21.Mar.2019,14:22,11.24,11:54:55,Thu 21 Mar 2019,Is it down right now?,Verizon
